2026-04-28 09:56:16,778 | __main__ | INFO | Initializing Bot A: Lead Quoting Engine...
2026-04-28 10:05:41,711 | __main__ | INFO |   ✓ Golden Route detected — eligible for auto-quoting
2026-04-28 10:05:41,738 | __main__ | INFO |   Quote calculated: $950 (carrier ~$850 + $100 margin) — confidence: high
2026-04-28 10:05:44,043 | modules.quote_delivery | INFO | Quote sent to mike.davis.test@gmail.com: $950 for 90001→75201
2026-04-28 10:05:44,043 | __main__ | INFO |   ✓ Quote sent to mike.davis.test@gmail.com
2026-04-28 10:05:44,043 | __main__ | INFO | Cycle complete. Stats: {'started_at': None, 'cycles': 1, 'leads_processed': 2, 'quotes_sent': 2, 'quotes_flagged_review': 0, 'errors': 0}
2026-04-28 11:02:25,447 | __main__ | INFO | Initializing Bot A: Lead Quoting Engine...
2026-04-28 11:02:26,194 | modules.pricing_engine | INFO | Loaded 40453 historical moves (242 skipped). Data path: /home/ubuntu/bot_a_lead_quoting_engine/data/Auto_Shipping_Training_Data_Combined.csv
2026-04-28 11:02:26,194 | __main__ | INFO | Bot A: Lead Quoting Engine initialized successfully.
2026-04-28 11:02:26,274 | __main__ | INFO | Pricing engine loaded: 40453 historical moves (32252 booked, 8201 quoted)
2026-04-28 11:02:26,274 | __main__ | INFO | Running single test cycle...
2026-04-28 11:02:26,746 | modules.lead_ingestion | INFO | Connected to imap.gmail.com as justin@ultimatemovers.net
2026-04-28 11:02:27,002 | modules.lead_ingestion | INFO | Found 1 unread emails to process
2026-04-28 11:02:28,902 | modules.lead_ingestion | INFO | Parsed lead: Robert Chen — 90001 → 10001
2026-04-28 11:02:28,902 | __main__ | INFO | Processing 1 new lead(s)...
2026-04-28 11:02:28,902 | __main__ | INFO | Processing lead: Robert Chen — 90001 → 10001 (2024 Toyota RAV4)
2026-04-28 11:02:28,902 | __main__ | INFO |   ✓ Golden Route detected — eligible for auto-quoting
2026-04-28 11:02:28,902 | modules.pricing_engine | INFO | OPERATOR RATE TABLE HIT: 90001 → 10001: $1625
2026-04-28 11:02:28,902 | __main__ | INFO |   Quote calculated: $1625 (carrier ~$1400 + $225 margin) — confidence: high
2026-04-28 11:02:30,103 | modules.lead_ingestion | WARNING | Gemini failed: 503 Server Error: Service Unavailable for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent?key=AIzaSyD6jMiGOBNlnNt9sg0ZvFmwl32dt6_eERs
2026-04-28 11:02:33,386 | httpx | INFO | HTTP Request: POST https://api.manus.im/api/llm-proxy/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-28 11:02:34,787 | modules.quote_delivery | INFO | Quote sent to robert.chen.test@gmail.com: $1625 for 90001→10001
2026-04-28 11:02:34,787 | __main__ | INFO |   ✓ Quote sent to robert.chen.test@gmail.com
2026-04-28 11:02:34,787 | __main__ | INFO | Cycle complete. Stats: {'started_at': None, 'cycles': 1, 'leads_processed': 1, 'quotes_sent': 1, 'quotes_flagged_review': 0, 'errors': 0}
